group,family,channel,sigma_psf_screen_px,d_rec_screen_px,symRes,sub_screen_px,symCellPx_screen_px,colCellPx_screen_px,colorBits,colorFmt,calibMode,denseN,winFrac,pilotSide_screen_px,frames,bitsPerCell,cellErrRate,bitErrRate,rsBlockFail,fileSuccess,meets,calibOverhead,netThroughput_bit_per_screenpx2,effectiveRate_MBps
A,符号型,web_locked,1.031678,5,4×4,1.5,6,,2,2 bit (4色),四角,0,1,,1,6,0.6483333333333333,0.44166666666666665,1,0,false,0,0.16666666666666666,1.296
A,符号型,web_locked,1.031678,5,4×4,2,8,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.016666666666666666,0.016666666666666666,0.0023494034226578253,1,true,0,0.0625,0.486
A,符号型,web_locked,1.031678,5,4×4,2,8,,2,2 bit (4色),四角,0,1,,1,6,0.515,0.32055555555555554,1,0,false,0,0.09375,0.729
A,符号型,web_locked,1.031678,5,4×4,3,12,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.027777777777777776,0.21599999999999997
A,符号型,web_locked,1.031678,5,4×4,3,12,,2,2 bit (4色),四角,0,1,,1,6,0.35333333333333333,0.2,1,0,false,0,0.041666666666666664,0.324
A,符号型,web_locked,1.031678,5,4×4,5,20,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.01,0.07776
A,符号型,web_locked,1.031678,5,4×4,5,20,,2,2 bit (4色),四角,0,1,,1,6,0.28833333333333333,0.1411111111111111,1,0,false,0,0.015,0.11663999999999998
A,符号型,web_locked,1.031678,5,4×4,8,32,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.00390625,0.030375
A,符号型,web_locked,1.031678,5,4×4,8,32,,2,2 bit (4色),四角,0,1,,1,6,0.18666666666666668,0.07111111111111111,0.9999999999758121,0,false,0,0.005859375,0.0455625
A,符号型,web_locked,1.031678,5,4×4,13,52,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0014792899408284023,0.011502958579881655
A,符号型,web_locked,1.031678,5,4×4,13,52,,2,2 bit (4色),四角,0,1,,1,6,0.155,0.05277777777777778,0.9999999725134254,0,false,0,0.0022189349112426036,0.017254437869822486
A,符号型,web_locked,1.031678,5,8×8,1,8,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.06,0.06,0.9949733133258168,0,false,0,0.0625,0.486
A,符号型,web_locked,1.031678,5,8×8,1,8,,2,2 bit (4色),四角,0,1,,1,6,0.52,0.38555555555555554,1,0,false,0,0.09375,0.729
